"","PERSON_ID","PLAYER_LAST_NAME","PLAYER_FIRST_NAME","PLAYER_SLUG","TEAM_ID","TEAM_ABBREVIATION"
"2692","1666","Madkins","Gerald","gerald-madkins","1610612739","CLE"
"2693","2058","Madsen","Mark","mark-madsen","1610612750","MIN"
"2694","77441","Mager","Norm","norm-mager","1610610024","BAL"
"2695","203705","Magette","Josh","josh-magette","1610612737","ATL"
"2696","1894","Maggette","Corey","corey-maggette","1610612746","LAC"
"2697","77442","Magley","Dave","dave-magley","1610612739","CLE"
"2698","2048","Magloire","Jamaal","jamaal-magloire","1610612740","NOP"
"2699","1630266","Magnay","Will","will-magnay","1610612740","NOP"
"2700","101133","Mahinmi","Ian","ian-mahinmi","1610612754","IND"
"2701","77443","Mahnken","John","john-mahnken","1610612738","BOS"
"2702","77444","Mahoney","Francis","francis-mahoney","1610612738","BOS"
"2703","328","Mahorn","Rick","rick-mahorn","1610612764","WAS"
"2704","105","Majerle","Dan","dan-majerle","1610612756","PHX"
"2705","200970","Major","Renaldo","renaldo-major","1610612744","GSW"
"2706","1627748","Maker","Thon","thon-maker","1610612749","MIL"
"2707","77447","Malamed","Lionel","lionel-malamed","1610610029","JET"
"2708","1630177","Maledon","Theo","theo-maledon","1610612756","PHX"
"2709","117","Malone","Jeff","jeff-malone","1610612764","WAS"
"2710","252","Malone","Karl","karl-malone","1610612762","UTA"
"2711","77449","Malone","Moses","moses-malone","1610612745","HOU"
"2712","1074","Maloney","Matt","matt-maloney","1610612745","HOU"
"2713","77450","Malovic","Steve","steve-malovic","1610612746","LAC"
"2714","1630572","Mamukelashvili","Sandro","sandro-mamukelashvili","1610612759","SAS"
"2715","77451","Manakas","Ted","ted-manakas","1610612758","SAC"
"2716","77452","Mandic","John","john-mandic","1610610029","JET"
"2717","1630211","Mane","Karim","karim-mane","1610612753","ORL"
"2718","77453","Mangiapane","Frank","frank-mangiapane","1610612752","NYK"
"2719","986","Mann","Marcus","marcus-mann","1610612744","GSW"
"2720","1629611","Mann","Terance","terance-mann","1610612746","LAC"
"2721","1630544","Mann","Tre","tre-mann","1610612766","CHA"
"2722","330","Manning","Danny","danny-manning","1610612746","LAC"
"2723","77454","Manning","Ed","ed-manning","1610612764","WAS"
"2724","316","Manning","Richard","richard-manning","1610612763","MEM"
"2725","1630185","Mannion","Nico","nico-mannion","1610612744","GSW"
"2726","77456","Mannion","Pace","pace-mannion","1610612762","UTA"
"2727","77457","Mantis","Nick","nick-mantis","1610612764","WAS"
"2728","77459","Maravich","Pete","pete-maravich","1610612762","UTA"
"2729","77458","Maravich","Peter","peter-maravich","1610610031","PIT"
"2730","203906","Marble","Devyn","devyn-marble","1610612753","ORL"
"2731","77460","Marble","Roy","roy-marble","1610612737","ATL"
"2732","950","Marbury","Stephon","stephon-marbury","1610612752","NYK"
"2733","36","Marciulionis","Sarunas","sarunas-marciulionis","1610612739","CLE"
"2734","77462","Mariaschin","Saul","saul-mariaschin","1610612738","BOS"
"2735","77463","Marin","Jack","jack-marin","1610612764","WAS"
"2736","1890","Marion","Shawn","shawn-marion","1610612756","PHX"
"2737","1626246","Marjanovic","Boban","boban-marjanovic","1610612745","HOU"
"2738","1628374","Markkanen","Lauri","lauri-markkanen","1610612762","UTA"
"2739","200806","Markota","Damir","damir-markota","1610612749","MIL"
"2740","1752","Marks","Sean","sean-marks","1610612740","NOP"
"2741","77464","Marlatt","Harvey","harvey-marlatt","1610612765","DET"
"2742","77465","Marsh","Eric","eric-marsh","1610612744","GSW"
"2743","77466","Marsh","Jim","jim-marsh","1610612757","POR"
"2744","681","Marshall","Donny","donny-marshall","1610612739","CLE"
"2745","923","Marshall","Donyell","donyell-marshall","1610612744","GSW"
"2746","203088","Marshall","Kendall","kendall-marshall","1610612747","LAL"
"2747","1630230","Marshall","Naji","naji-marshall","1610612740","NOP"
"2748","101185","Marshall","Rawle","rawle-marshall","1610612754","IND"
"2749","77467","Marshall","Tom","tom-marshall","1610612758","SAC"
"2750","77468","Marshall","Vester","vester-marshall","1610612760","OKC"
"2751","77481","Martin","Bill","bill-martin","1610612754","IND"
"2752","77478","Martin","Bob","bob-martin","1610612746","LAC"
"2753","77469","Martin","Brian","brian-martin","1610612757","POR"
"2754","1628997","Martin","Caleb","caleb-martin","1610612748","MIA"
"2755","201858","Martin","Cartier","cartier-martin","1610612764","WAS"
"2756","1628998","Martin","Cody","cody-martin","1610612766","CHA"
"2757","733","Martin","Cuonzo","cuonzo-martin","1610612763","MEM"
"2758","239","Martin","Darrick","darrick-martin","1610612746","LAC"
"2759","77473","Martin","Don","don-martin","1610610034","BOM"
"2760","77471","Martin","Donald","donald-martin","1610610032","PRO"
"2761","77472","Martin","Fernando","fernando-martin","1610612757","POR"
"2762","1626185","Martin","Jarell","jarell-martin","1610612763","MEM"
"2763","1641798","Martin","Jaylen","jaylen-martin","1610612751","BKN"
"2764","77474","Martin","Jeff","jeff-martin","1610612746","LAC"
"2765","1629725","Martin","Jeremiah","jeremiah-martin","1610612739","CLE"
"2766","1630231","Martin","KJ","kj-martin","1610612755","PHI"
"2767","1629103","Martin","Kelan","kelan-martin","1610612740","NOP"
"2768","2030","Martin","Kenyon","kenyon-martin","1610612743","DEN"
"2769","2755","Martin","Kevin","kevin-martin","1610612758","SAC"
"2770","77475","Martin","Larue","larue-martin","1610612757","POR"
"2771","77476","Martin","Mo","mo-martin","1610612743","DEN"
"2772","77477","Martin","Phil","phil-martin","1610612737","ATL"
"2773","77479","Martin","Ronald","ronald-martin","1610612752","NYK"
"2774","77480","Martin","Slater","slater-martin","1610612747","LAL"
"2775","1631213","Martin","Tyrese","tyrese-martin","1610612750","MIN"
"2776","469","Mashburn","Jamal","jamal-mashburn","1610612742","DAL"
"2777","77482","Masino","Al","al-masino","1610612737","ATL"
